filepaths,quality,class
b r e a d \ b r e a d _ g o o d \ 1 9 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 2 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 2 0 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 2 1 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 2 2 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 2 3 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 2 4 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 2 5 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 2 6 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 2 7 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 2 8 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 2 9 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 3 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 3 0 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 3 1 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 3 2 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 3 3 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 3 4 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 3 5 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 3 6 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 3 7 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 3 8 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 3 9 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 4 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 4 0 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 4 1 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 4 2 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 4 3 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 4 4 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 4 5 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 4 6 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 4 7 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 4 8 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 4 9 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 5 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 5 0 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 5 1 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 5 2 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 5 3 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 5 4 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 5 5 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 5 6 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 5 7 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 5 8 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 5 9 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 6 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 6 0 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 6 1 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 6 2 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 6 3 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 6 4 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 6 5 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 6 6 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 6 7 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 6 8 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 6 9 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 7 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 7 0 . j p e g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 7 1 . j p e g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 7 2 . j p e g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 7 3 . j p e g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 7 4 . j p e g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 7 5 . j p e g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 7 6 . j p e g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 7 7 . j p e g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 7 8 . j p e g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 7 9 . j p e g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 8 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 8 0 . j p e g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 8 1 . j p e g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 9 . j p g , 0 , 0

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 0 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 1 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 1 0 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 1 1 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 1 2 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 1 3 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 1 4 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 1 5 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 1 6 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 1 7 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 1 8 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 1 9 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 2 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 2 0 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 2 1 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 2 2 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 2 3 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 2 4 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 2 5 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 2 6 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 2 7 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 2 8 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 2 9 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 3 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 3 0 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 3 1 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 3 2 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 3 3 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 3 4 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 3 5 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 3 6 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 3 7 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 3 8 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 3 9 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 4 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 4 0 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 4 1 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 4 2 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 4 3 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 4 4 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 4 5 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 4 6 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 4 7 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 4 8 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 4 9 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 5 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 5 0 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 5 1 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 5 2 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 5 3 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 5 4 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 5 5 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 5 6 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 5 7 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 5 8 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 5 9 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 6 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 6 0 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 7 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 8 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ b a d \ 9 . j p g , 1 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 0 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 1 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 1 0 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 1 1 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 1 2 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 1 3 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 1 4 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 1 5 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 1 6 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 1 7 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 1 8 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 1 9 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 2 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 3 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 4 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 5 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 6 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 7 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 8 . j p g , 0 , 1

c h e e s e _ p a s t a \ c h e e s e _ p a s t a _ g o o d \ 9 . j p g , 0 , 1

c o f f e e \ c o f f e e _ b a d \ 0 . j p g , 1 , 2

c o f f e e \ c o f f e e _ b a d \ 1 . j p g , 1 , 2

c o f f e e \ c o f f e e _ b a d \ 2 . j p g , 1 , 2

c o f f e e \ c o f f e e _ b a d \ 3 . j p g , 1 , 2

c o f f e e \ c o f f e e _ b a d \ 4 . j p g , 1 , 2

c o f f e e \ c o f f e e _ b a d \ 5 . j p g , 1 , 2

c o f f e e \ c o f f e e _ b a d \ 6 . j p g , 1 , 2

c o f f e e \ c o f f e e _ b a d \ 7 . j p g , 1 , 2

c o f f e e \ c o f f e e _ g o o d \ 0 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 1 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 1 0 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 1 1 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 1 2 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 1 3 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 1 4 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 1 5 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 1 6 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 1 7 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 1 8 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 1 9 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 2 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 2 0 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 2 1 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 2 2 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 2 3 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 2 4 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 2 5 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 2 6 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 2 7 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 2 8 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 2 9 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 3 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 3 0 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 3 1 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 3 2 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 3 3 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 3 4 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 3 5 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 3 6 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 3 7 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 3 8 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 3 9 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 4 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 4 0 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 4 1 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 4 2 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 4 3 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 4 4 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 4 5 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 4 6 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 4 7 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 4 8 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 4 9 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 5 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 5 0 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 5 1 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 5 2 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 5 3 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 5 4 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 5 5 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 5 6 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 5 7 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 5 8 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 5 9 . j p e g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 6 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 6 0 . j p e g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 6 1 . j p e g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 6 2 . j p e g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 6 3 . j p e g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 6 4 . j p e g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 6 5 . j p e g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 6 6 . j p e g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 6 7 . j p e g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 6 8 . j p e g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 6 9 . j p e g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 7 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 7 0 . j p e g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 8 . j p g , 0 , 2

c o f f e e \ c o f f e e _ g o o d \ 9 . j p g , 0 , 2

f r u i t s \ f r u i t s _ b a d \ 0 . j p g , 1 , 3

f r u i t s \ f r u i t s _ b a d \ 1 . j p g , 1 , 3

f r u i t s \ f r u i t s _ b a d \ 1 0 . j p g , 1 , 3

f r u i t s \ f r u i t s _ b a d \ 2 . j p g , 1 , 3

f r u i t s \ f r u i t s _ b a d \ 3 . j p g , 1 , 3

f r u i t s \ f r u i t s _ b a d \ 4 . j p g , 1 , 3

f r u i t s \ f r u i t s _ b a d \ 5 . j p g , 1 , 3

f r u i t s \ f r u i t s _ b a d \ 6 . j p g , 1 , 3

f r u i t s \ f r u i t s _ b a d \ 7 . j p g , 1 , 3

f r u i t s \ f r u i t s _ b a d \ 8 . j p g , 1 , 3

f r u i t s \ f r u i t s _ b a d \ 9 . j p g , 1 , 3

f r u i t s \ f r u i t s _ g o o d \ 0 . j p g , 0 , 3

f r u i t s \ f r u i t s _ g o o d \ 1 . j p g , 0 , 3

f r u i t s \ f r u i t s _ g o o d \ 1 0 . j p g , 0 , 3

f r u i t s \ f r u i t s _ g o o d \ 1 1 . j p g , 0 , 3

f r u i t s \ f r u i t s _ g o o d \ 1 2 . j p g , 0 , 3

f r u i t s \ f r u i t s _ g o o d \ 1 3 . j p g , 0 , 3

f r u i t s \ f r u i t s _ g o o d \ 1 4 . j p g , 0 , 3

f r u i t s \ f r u i t s _ g o o d \ 1 5 . j p g , 0 , 3

f r u i t s \ f r u i t s _ g o o d \ 2 . j p g , 0 , 3

f r u i t s \ f r u i t s _ g o o d \ 3 . j p g , 0 , 3

f r u i t s \ f r u i t s _ g o o d \ 4 . j p g , 0 , 3

f r u i t s \ f r u i t s _ g o o d \ 5 . j p g , 0 , 3

f r u i t s \ f r u i t s _ g o o d \ 6 . j p g , 0 , 3

f r u i t s \ f r u i t s _ g o o d \ 7 . j p g , 0 , 3

f r u i t s \ f r u i t s _ g o o d \ 8 . j p g , 0 , 3

f r u i t s \ f r u i t s _ g o o d \ 9 . j p g , 0 , 3

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ b a d \ 0 . j p g , 1 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ b a d \ 1 . j p e g , 1 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 0 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 1 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 1 0 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 1 1 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 1 2 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 1 3 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 1 4 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 1 5 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 1 6 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 1 7 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 1 8 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 1 9 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 2 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 2 0 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 2 1 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 2 2 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 2 3 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 2 4 . j p g , 0 , 4

r i c e _ p o r r i d g e \ r i c e _ p o r r i d g e _ g o o d \ 2 5 . j p e g , 0 , 4

